nCount_RNA,nFeature_RNA,percent.mt,cellType
15671,3277,5.89624146512667,Basal conjuctiva epithelium
18514,3453,8.17219401533974,Basal conjuctiva epithelium
5122,1877,5.36899648574776,Corneal stroma keratocytes
16887,3629,8.18381003138509,Transit amplifying cells
29285,5234,9.79682431278812,Superficial conjunctiva epithelium
32290,4718,8.45462991638278,Basal conjuctiva epithelium
22750,3655,5.91208791208791,Transit amplifying cells
19384,4087,9.08997111019398,Superficial conjunctiva epithelium
22948,4223,9.59996513857417,Corneal basal and suprabasal cells
19930,3401,5.04264927245359,Corneal wing cells
20584,4121,9.69199378157792,Corneal basal and suprabasal cells
14233,3409,2.90170729993677,Corneal stroma keratocytes
16600,4191,9.21084337349398,Corneal basal and suprabasal cells
8328,2493,4.64697406340058,Corneal stroma keratocytes
6945,1998,6.94024478041757,Conjunctival endothelium
24047,4474,7.75980371771947,Corneal epithelial superficial cells
23895,4115,4.2435655994978,Basal conjuctiva epithelium
20237,3836,7.82230567771903,Basal conjuctiva epithelium
16674,3806,3.40050377833753,Superficial conjunctiva epithelium
15963,3761,8.69510743594562,Limbal superficial  cells
3683,1421,2.90524029323921,Corneal stroma keratocytes
22826,4873,6.63716814159292,Corneal basal and suprabasal cells
25025,4665,4.97902097902098,Corneal stroma keratocytes
16792,3641,7.79537875178656,Basal conjuctiva epithelium
13408,3704,3.66199284009547,Corneal stroma keratocytes
2823,1210,8.07651434643996,Modulated corneal endothelial cells
21520,4427,9.19144981412639,Corneal basal and suprabasal cells
19920,3981,6.49096385542169,Corneal wing cells
22141,4334,2.51117835689445,Corneal stroma keratocytes
12062,3152,2.94312717625601,Limbal fibroblasts
19719,4029,5.73558496881181,Transit amplifying cells
23033,4222,4.30686406460296,Transit amplifying cells
10041,2797,3.5454635992431,Corneal stroma
14265,3110,3.98878373641781,Corneal stroma
5414,1947,8.75507942371629,Basal conjuctiva epithelium
15278,3610,9.83112972902212,Superficial conjunctiva epithelium
14524,3517,3.99339025061966,Corneal stroma keratocytes
18679,3511,8.61395149633278,Transit amplifying cells
5894,2013,6.29453681710214,Limbal Niche
17848,3380,7.72075302554908,Basal conjuctiva epithelium
38681,5591,9.95837749799643,Superficial conjunctiva epithelium
19387,4308,3.33212977768608,Corneal stroma keratocytes
15799,3354,8.35495917463131,Basal conjuctiva epithelium
18955,3994,8.05592192033764,Limbal superficial  cells
22344,3732,9.91765127103473,Basal conjuctiva epithelium
20236,3978,6.01897608222969,Basal conjuctiva epithelium
16061,2928,8.02565220098375,Transit amplifying cells
3945,1517,6.97084917617237,Basal conjuctiva epithelium
24956,4529,5.85430357429075,Corneal epithelial superficial cells
34846,5584,4.43953394937726,Conjunctival endothelium
26515,4647,5.03111446351122,Conjunctival endothelium
40185,5464,6.01965907676994,Corneal wing cells
10939,2835,4.31483682237865,Corneal stroma keratocytes
23924,4360,4.41815749874603,Limbal fibroblasts
22227,3954,1.75012372339947,Corneal stroma
17435,3809,9.22856323487238,Basal conjuctiva epithelium
12169,3147,3.76366176349741,Corneal stroma keratocytes
20148,4016,6.87909469922573,Superficial conjunctiva epithelium
19249,3586,9.22125824718167,Corneal wing cells
13743,3070,4.97707924034054,Corneal stroma
29522,5055,7.38771085969785,Superficial conjunctiva epithelium
24470,4449,8.57376379239886,Corneal basal and suprabasal cells
13150,3564,5.67300380228137,Superficial conjunctiva epithelium
14808,3073,4.63938411669368,Corneal stroma
24052,4749,7.64593381007816,Corneal wing cells
17252,3438,9.83074426153489,Corneal basal and suprabasal cells
16923,4276,3.94138155173433,Limbal fibroblasts
40726,5587,5.42159799636596,Basal conjuctiva epithelium
23246,4111,8.7627979007141,Superficial conjunctiva epithelium
4729,1632,1.83971241277226,Corneal stroma keratocytes
10021,2368,5.14918670791338,Basal conjuctiva epithelium
4096,1305,6.1279296875,Corneal basal and suprabasal cells
6914,2122,5.29360717385016,Corneal stroma keratocytes
26483,4776,8.3487520296039,Corneal basal and suprabasal cells
23488,4542,3.05688010899183,Corneal stroma keratocytes
20682,3994,8.41311285175515,Corneal wing cells
16792,3966,2.7334444973797,Corneal stroma keratocytes
19241,4380,7.97255859882542,Superficial conjunctiva epithelium
21662,3704,5.7981719139507,Quiescent LSCs
16844,3656,8.32343861315602,Transit amplifying cells
21249,3808,8.22156336768789,Basal conjuctiva epithelium
20586,3870,6.7181579714369,Corneal stroma keratocytes
12209,3106,2.81759357850766,Corneal stroma keratocytes
7737,2360,3.98087113868424,Corneal stroma keratocytes
6966,2291,8.92908412288257,Corneal wing cells
21311,4060,6.90723100746094,Corneal wing cells
4842,1884,4.72945064023131,Corneal stroma
2167,1055,3.73788647900323,Superficial conjunctiva epithelium
9258,2339,6.62130049686757,Corneal epithelial superficial cells
14191,2787,9.61877246141921,Basal conjuctiva epithelium
17466,3753,5.1814954769266,Superficial conjunctiva epithelium
19633,3645,7.70131920745683,Limbal superficial  cells
21828,4090,7.60949239508888,Corneal basal and suprabasal cells
24688,3932,7.36795204147764,Basal conjuctiva epithelium
19457,4222,8.89654109061006,Corneal basal and suprabasal cells
13504,3173,3.52488151658768,Corneal stroma keratocytes
5520,1351,5.67028985507246,Corneal stroma keratocytes
2687,1234,5.35913658355043,Red blood cells
6804,2061,2.17519106407995,Corneal stroma keratocytes
14036,3330,8.32145910515816,Corneal epithelial superficial cells
28503,4057,4.69073430866926,Transit amplifying cells
3109,1194,7.88034737857832,Superficial conjunctiva epithelium
9311,2468,8.07646869294383,Limbal fibroblasts
26754,4808,6.28691036854302,Corneal basal and suprabasal cells
21119,4684,8.64624271982575,Superficial conjunctiva epithelium
4679,1250,6.9459286172259,Immune cells II
15326,3657,9.90473704815346,Limbal Niche
17049,3732,5.56630887442079,Superficial conjunctiva epithelium
7551,3145,2.1056813667064,Corneal stroma keratocytes
2378,1120,1.85029436501262,Limbal fibroblasts
12015,3534,4.98543487307532,Corneal stroma keratocytes
8351,2147,5.48437312896659,Corneal stroma keratocytes
32845,5233,9.27386207946415,Corneal wing cells
36247,5281,5.03765828896185,Corneal wing cells
17900,3905,7.50837988826816,Corneal epithelial superficial cells
20479,4003,7.41247131207578,Corneal wing cells
5741,1499,7.31579864135168,Corneal stroma keratocytes
9749,2456,4.2158170068725,Corneal stroma keratocytes
10747,3075,8.68149250953755,Corneal basal and suprabasal cells
39196,5160,8.34268802939075,Basal conjuctiva epithelium
19375,3635,8.36129032258065,Corneal epithelial superficial cells
5395,1708,6.07970342910102,Corneal stroma keratocytes
8894,2533,5.36316617944682,Corneal stroma keratocytes
11098,2898,4.21697603171743,Corneal stroma keratocytes
20953,3835,9.31131580203312,Corneal basal and suprabasal cells
14553,2217,5.02301930873359,Immune cells I
7104,2430,8.58671171171171,Conjunctival endothelium
29429,4555,4.46838152842434,Basal conjuctiva epithelium
20537,4311,4.89847592150752,Superficial conjunctiva epithelium
19210,3155,6.33524206142634,Basal conjuctiva epithelium
28204,5140,9.6262941426748,Superficial conjunctiva epithelium
10517,2918,9.58448226680612,Corneal basal and suprabasal cells
18379,3478,3.52576309918929,Corneal stroma
11388,2928,7.02493853178785,Corneal stroma keratocytes
29460,4589,7.3082145281738,Limbal Niche
14326,3053,6.85466983107636,Limbal Niche
2347,1152,3.02513847464849,Corneal basal and suprabasal cells
24570,4614,8.72201872201872,Corneal epithelial superficial cells
25661,4924,8.12127352792175,Corneal basal and suprabasal cells
11496,2476,6.61969380654141,Quiescent LSCs
18201,4058,3.89539036316686,Corneal stroma keratocytes
15392,3112,9.48544698544699,Basal conjuctiva epithelium
4263,1665,3.28407224958949,Corneal stroma keratocytes
29769,4406,7.48429574389466,Basal conjuctiva epithelium
16211,3608,7.5689346739868,Superficial conjunctiva epithelium
25798,4742,7.89983719668191,Limbal superficial  cells
15293,3302,9.61224089452691,Corneal wing cells
16989,3551,4.12619930543293,Corneal stroma
32965,5150,6.38556044289398,Superficial conjunctiva epithelium
2288,1009,3.01573426573427,Corneal basal and suprabasal cells
45510,5990,8.92990551527137,Limbal Niche
9287,2390,4.88855389253796,Superficial conjunctiva epithelium
10825,2516,5.62586605080831,Limbal fibroblasts
22169,4100,7.47891199422617,Transit amplifying cells
5071,1789,8.69650956418852,Transit amplifying cells
10631,2394,9.9426206377575,Transit amplifying cells
6168,1678,4.47470817120623,Corneal stroma
17377,3753,4.85699487828739,Corneal stroma keratocytes
4611,1625,6.57124268054652,Conjunctival endothelium
6372,1749,9.40050219711237,Transit amplifying cells
30240,5617,9.87103174603175,Limbal Niche
4187,1585,6.18581323143062,Basal conjuctiva epithelium
22263,4378,5.64164757669676,Corneal basal and suprabasal cells
16132,3493,3.14902058021324,Limbal fibroblasts
18377,3170,8.06986994612831,Basal conjuctiva epithelium
21074,4447,7.45468349625131,Corneal basal and suprabasal cells
15679,3339,3.91606607564258,Corneal stroma
19725,3740,9.41951837769328,Transit amplifying cells
25224,4084,5.35601014906438,Basal conjuctiva epithelium
19257,3991,8.62024198992574,Corneal epithelial superficial cells
23306,4324,3.46262764953231,Corneal stroma keratocytes
25110,4465,5.98964555953803,Corneal stroma
19579,3821,4.32606363961387,Corneal stroma
23147,4764,2.48412321251134,Corneal stroma keratocytes
16196,3294,3.30945912571005,Corneal stroma
13325,3157,9.32082551594747,Corneal epithelial superficial cells
21104,4338,7.97952994692949,Corneal epithelial superficial cells
15465,3009,9.66698997736825,Transit amplifying cells
26441,4565,3.44540675466132,Corneal stroma keratocytes
9983,2560,3.90664129019333,Corneal basal and suprabasal cells
24819,4063,6.93823280551191,Basal conjuctiva epithelium
4465,2245,8.51063829787234,Corneal basal and suprabasal cells
24789,4111,6.06720722901287,Basal conjuctiva epithelium
4907,1626,5.11514163439984,Corneal stroma keratocytes
7933,2248,5.72292953485441,Corneal stroma keratocytes
14769,3551,6.27666057282145,Superficial conjunctiva epithelium
9071,2368,5.30261272186088,Corneal wing cells
27057,4779,9.09191706397605,Limbal Niche
27819,4158,4.89593443330098,Corneal wing cells
20056,3741,9.6031112883925,Transit amplifying cells
3410,1297,3.81231671554252,Immune cells II
20671,3902,3.84596778094916,Corneal stroma
15038,3361,9.72203750498737,Basal conjuctiva epithelium
15156,3370,8.24755872261811,Limbal superficial  cells
17621,3764,8.89847341240565,Superficial conjunctiva epithelium
11488,2633,3.06406685236769,Corneal stroma
17018,3907,5.38841226936185,Corneal stroma keratocytes
20602,4119,4.14522861858072,Corneal stroma keratocytes
20774,3874,9.10753826899008,Corneal wing cells
13336,3165,2.72945410917816,Corneal stroma
15394,3031,7.63934000259841,Basal conjuctiva epithelium
3903,1418,8.0963361516782,Limbal fibroblasts
30218,5126,8.89205109537362,Corneal wing cells
23247,4551,2.61539123327741,Limbal Niche
3560,1491,1.20786516853933,Superficial conjunctiva epithelium
2850,1106,4.35087719298246,Limbal stroma
