nCount_RNA,nFeature_RNA,percent.mt,cellType
6874,2357,7.98661623508874,Ocular epithelium
8652,2636,8.27554322699954,Ocular epithelium
1544,868,7.18911917098446,Ocular epithelium
5207,1957,13.1553677741502,Ocular epithelium
4383,2280,10.8373260323979,Ocular epithelium
10459,2845,7.4098862223922,Corneal epithelium
5900,2382,9.27118644067797,Ocular epithelium
2870,1628,1.63763066202091,Ocular epithelium
6543,2281,8.37536298334098,Ocular epithelium
22249,4451,8.44532338532069,Limbal epithelium
10968,3008,8.47009482129832,Ocular epithelium
9757,2939,7.28707594547504,Ocular epithelium
23985,5129,10.3814884302689,Conjuctival epithelium
7602,2352,9.48434622467772,Limbal epithelium
14503,3626,10.1840998414121,Ocular epithelium
25106,5582,4.4571018879949,Ocular epithelium
7504,2402,8.99520255863539,Ocular epithelium
5423,1773,5.79015305181634,Limbal epithelium
10822,3027,5.16540380705969,Ocular epithelium
2311,1242,1.55776720034617,Conjuctival epithelium
2331,1039,1.88760188760189,Ocular epithelium
5095,1820,0.765456329735034,Ocular epithelium
10701,3045,9.00850387814223,Ocular epithelium
5219,1818,12.4544931979306,Limbal epithelium
1460,799,5.68493150684932,Conjuctival epithelium
5191,1987,8.91928337507224,Ocular epithelium
64330,8013,5.75314783149386,Conjuctival epithelium
10294,2806,6.60578978045463,Conjuctival epithelium
10912,3211,10.8046187683284,Ocular epithelium
26442,5027,10.1959004613872,Ocular epithelium
1274,706,7.45682888540031,Conjuctival epithelium
7973,2458,5.94506459300138,Ocular epithelium
8599,3081,9.47784626119316,Limbal epithelium
2264,1063,3.79858657243816,Corneal epithelium
50469,7170,7.81271671719273,Corneal epithelium
1936,1034,9.86570247933884,Ocular epithelium
2650,1185,2.45283018867925,Conjuctival epithelium
7585,2459,6.07778510217535,Ocular epithelium
18844,4209,7.6947569518149,Conjuctival epithelium
8681,2568,5.66754982144914,Limbal epithelium
20151,4729,6.0493275767952,Conjuctival epithelium
2094,1139,12.9894937917861,Ocular epithelium
1401,830,4.6395431834404,Conjuctival epithelium
19805,4231,8.4170663973744,Corneal epithelium
2962,1708,7.39365293720459,Ocular epithelium
56119,7177,3.97904453037296,Corneal epithelium
7921,2495,6.96881706855195,Ocular epithelium
6425,2181,8.3579766536965,Ocular epithelium
5728,1950,5.81354748603352,Ocular epithelium
1777,1019,9.2290377039955,Ocular epithelium
3435,1222,3.08588064046579,Corneal epithelium
8071,2443,10.0235410729773,Ocular epithelium
1969,1097,12.0873539867953,Limbal epithelium
1938,1007,7.37874097007224,Conjuctival epithelium
17098,4021,9.10047958825594,Corneal epithelium
9169,2743,9.30308648707602,Ocular epithelium
7709,2393,8.01660396938643,Ocular epithelium
8313,2501,5.94249969926621,Conjuctival epithelium
10431,2914,8.25424216278401,Corneal epithelium
5590,1906,13.7209302325581,Corneal epithelium
18098,4976,4.989501602387,Conjuctival epithelium
2424,1252,2.80528052805281,Conjuctival epithelium
1362,774,6.90161527165932,Conjuctival epithelium
5112,1853,1.01721439749609,Ocular epithelium
1246,824,4.57463884430177,Conjuctival epithelium
1238,713,5.49273021001615,Corneal epithelium
1206,690,6.38474295190713,Conjuctival epithelium
8361,2667,7.45126181078818,Corneal epithelium
6107,2087,11.2002619944326,Ocular epithelium
1490,782,3.55704697986577,Limbal epithelium
1341,899,4.69798657718121,Ocular epithelium
2363,1095,4.73973762166737,Conjuctival epithelium
18650,4436,7.31367292225201,Conjuctival epithelium
1440,844,14.2361111111111,Conjuctival epithelium
3464,1395,0.952655889145496,Ocular epithelium
20659,4488,7.70124400987463,Limbal epithelium
18228,4186,7.92187842879087,Ocular epithelium
2937,1126,1.97480422199523,Ocular epithelium
2554,1161,10.4933437744714,Ocular epithelium
1445,795,11.0726643598616,Ocular epithelium
2157,1212,14.6963375057951,Limbal epithelium
18572,4480,6.04135257376696,Conjuctival epithelium
1246,662,1.84590690208668,Conjuctival epithelium
2557,1126,2.6593664450528,Limbal epithelium
8083,2626,11.4808858097241,Ocular epithelium
9939,2781,6.73105946272261,Ocular epithelium
3807,1552,1.33963750985028,Ocular epithelium
14597,3744,8.31677742001781,Ocular epithelium
5857,2118,11.0466108929486,Ocular epithelium
12030,3258,6.51704073150457,Corneal epithelium
1336,801,9.5059880239521,Ocular epithelium
1431,858,4.40251572327044,Conjuctival epithelium
17018,4192,7.55082853449289,Conjuctival epithelium
9644,2637,6.57403566984654,Ocular epithelium
1146,726,4.01396160558464,Ocular epithelium
15241,3593,12.1448723837019,Conjuctival epithelium
9022,2840,6.68366215916648,Limbal epithelium
1112,631,8.63309352517986,Conjuctival epithelium
39336,6303,5.23947528981086,Conjuctival epithelium
1245,741,4.49799196787149,Conjuctival epithelium
1387,798,5.26315789473684,Conjuctival epithelium
35935,5839,6.62585223319883,Conjuctival epithelium
6064,2208,8.77308707124011,Ocular epithelium
